dt1,dt2,l1,l2,r1,r2,t1,t2,th1,th2,v1,v2,x1,x2,xm1,xm2,y1,y2,ym1,ym2,eSpeed1,eSpeed2,pwm1,pwm2,vCtrl1,vCtrl2,xKalman1,yKalman1,xKalman2,yKalman2,xPred1,yPred1,xPred2,yPred2,State1,State2
0.04,0.04,4.0455,1.6464,9,4,9,4,450,-68.129,0,0,1.835,0.18565,1.85,0.206,0.964,0.376,0.964,0.376,0,0,650,750,0,0,1.85,0.964,0.206,0.376,1.85,0.964,0.206,0.376,init,init
0.08,0.08,4.0455,1.6464,9,4,9,4,450,-68.129,0,0,1.835,0.18565,1.85,0.206,0.964,0.376,0.964,0.376,0,0.004,650,751,0,0.004,1.85,0.964,0.206,0.376,1.85,0.964,0.206,0.376,wait,accl
0.12,0.12,4.0455,1.6464,9,4,9,4,450,-68.129,0,0.04,1.835,0.18566,1.85,0.206,0.964,0.37598,0.964,0.376,0,0.004,650,752,0,0.008,1.85,0.964,0.20598,0.37598,1.85,0.964,0.2066,0.37452,wait,accl
0.16,0.16,4.0455,1.6484,9,4,9,4,450,-67.782,0,0.04,1.835,0.1864,1.85,0.206,0.964,0.37402,0.964,0.374,0,0.004,650,753,0,0.012,1.85,0.964,0.20602,0.37402,1.85,0.964,0.2072,0.37303,wait,accl
0.2,0.2,4.0455,1.6485,9,4,9,4,450,-67.782,0,0.04,1.835,0.18641,1.85,0.206,0.964,0.37398,0.964,0.374,0,0.004,650,754,0,0.016,1.85,0.964,0.20598,0.37398,1.85,0.964,0.20781,0.37155,wait,accl
0.24,0.24,4.0455,1.6485,9,4,9,4,450,-67.782,0,0.13,1.835,0.18643,1.85,0.206,0.964,0.37394,0.964,0.374,0,0.004,650,755,0,0.02,1.85,0.964,0.20594,0.37394,1.85,0.964,0.20977,0.36674,wait,accl
0.28,0.28,4.0455,1.6485,9,4,9,4,450,-67.782,0,0.13,1.835,0.18643,1.85,0.206,0.964,0.37394,0.964,0.374,0,0.004,650,756,0,0.024,1.85,0.964,0.20594,0.37394,1.85,0.964,0.21174,0.36192,wait,accl
0.32,0.32,4.0455,1.8762,9,5,9,5,450,-67.782,0,0.44,1.835,0.2058,1.85,0.206,0.964,0.33235,0.964,0.374,0,0.004,650,757,0,0.028,1.85,0.964,0.2058,0.3738,1.85,0.964,0.21839,0.34563,wait,accl
0.36,0.36,4.0464,1.8762,9,5,9,5,450,-67.782,0,0.44,1.835,0.20579,1.853,0.206,0.96492,0.33236,0.965,0.374,0,0.004,650,758,0,0.032,1.8529,0.96492,0.20579,0.37379,1.85,0.964,0.22505,0.32934,wait,accl
0.4,0.4,4.0465,1.8762,9,5,9,5,450,-67.782,0,0.44,1.835,0.20579,1.853,0.206,0.965,0.33236,0.965,0.374,0,0.004,650,759,0,0.036,1.853,0.965,0.20579,0.37379,1.85,0.964,0.2317,0.31305,wait,accl
0.44,0.44,4.0465,1.8761,9,5,9,5,450,-67.782,0,0.39,1.835,0.20581,1.853,0.206,0.965,0.33232,0.965,0.374,0,0.004,650,760,0,0.04,1.853,0.965,0.20581,0.37381,1.85,0.964,0.2376,0.2986,wait,accl
0.48,0.48,4.0465,1.8082,9,5,9,5,450,-57.514,0,0.39,1.835,0.24491,1.853,0.245,0.965,0.27656,0.965,0.334,0,0.004,650,761,0,0.044,1.853,0.965,0.24491,0.33391,1.85,0.964,0.24598,0.28544,wait,accl
0.52,0.52,4.0465,1.8081,9,5,9,5,450,-57.514,0,0.27,1.835,0.24493,1.853,0.245,0.965,0.27654,0.965,0.334,0,0.004,650,762,0,0.048,1.853,0.965,0.24493,0.33393,1.85,0.964,0.25178,0.27633,wait,accl
0.56,0.56,4.0465,1.8081,9,5,9,5,450,-57.514,0,0.27,1.835,0.24493,1.853,0.245,0.965,0.27654,0.965,0.334,0,0.004,650,763,0,0.052,1.853,0.965,0.24493,0.33393,1.85,0.964,0.25758,0.26722,wait,accl
0.6,0.6,4.0465,1.8081,9,5,9,5,450,-57.514,0,0.27,1.835,0.24493,1.853,0.245,0.965,0.27654,0.965,0.334,0,0.004,650,764,0,0.056,1.853,0.965,0.24493,0.33393,1.85,0.964,0.26338,0.25811,wait,accl
