state1,state2
init,init
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,brak
wait,brak
wait,brak
wait,brak
wait,brak
wait,brak
wait,brak
wait,brak
wait,stop
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
stop,accl
wait,accl
wait,accl
strt,accl
sync,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,stop
sync,accl
sync,brak
sync,stop
sync,accl
sync,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
brak,accl
accl,accl
accl,accl
accl,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
sync,accl
brak,accl
brak,accl
brak,accl
accl,accl
accl,accl
accl,accl
sync,accl
brak,accl
brak,accl
brak,accl
brak,accl
accl,accl
accl,accl
sync,accl
sync,accl
sync,accl
sync,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
sync,brak
sync,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
sync,brak
sync,brak
sync,accl
sync,accl
sync,accl
sync,accl
accl,accl
accl,accl
sync,accl
accl,accl
accl,accl
sync,accl
sync,accl
accl,accl
sync,accl
sync,accl
brak,accl
sync,accl
sync,accl
sync,accl
brak,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,sync
accl,sync
accl,sync
accl,sync
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
accl,accl
accl,accl
sync,accl
