State1,State2
init,init
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,accl
brak,brak
brak,brak
brak,accl
sync,accl
sync,accl
sync,accl
brak,accl
brak,accl
brak,accl
brak,brak
brak,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
stop,accl
wait,accl
wait,accl
wait,sync
wait,accl
wait,accl
wait,sync
wait,sync
wait,sync
wait,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,brak
accl,brak
brak,accl
sync,accl
sync,accl
sync,brak
brak,brak
brak,brak
sync,brak
sync,brak
sync,brak
sync,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
stop,brak
wait,stop
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
wait,wait
wait,accl
accl,accl
brak,accl
stop,accl
strt,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,brak
sync,brak
sync,brak
sync,brak
sync,brak
sync,brak
sync,stop
sync,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,accl
accl,accl
accl,accl
accl,sync
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
sync,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
