dt1,dt2,l1,l2,r1,r2,t1,t2,th1,th2,v1,v2,x1,x2,xm1,xm2,y1,y2,ym1,ym2,eSpeed1,eSpeed2,pwm1,pwm2,vCtrl1,vCtrl2,xKalman1,yKalman1,xKalman2,yKalman2,xPred1,yPred1,xPred2,yPred2,State1,State2
0.04,0.04,0.89251,3.871,3,9,3,9,270,450,0,0,0.165,1.835,0.156,1.842,1.128,0.78947,1.128,0.789,0,0,650,750,0,0,0.156,1.128,1.843,0.789,0.156,1.128,1.843,0.789,init,init
0.08,0.08,0.89251,3.8705,3,9,3,9,270,450,0,0,0.165,1.835,0.156,1.842,1.128,0.78902,1.128,0.789,0.004,0.004,651,751,0.004,0.004,0.156,1.128,1.842,0.78902,0.156,1.128,1.843,0.789,accl,accl
0.12,0.12,0.89251,3.8705,3,9,3,9,270,450,0,0,0.165,1.835,0.156,1.842,1.128,0.789,1.128,0.789,0.004,0.004,652,752,0.008,0.008,0.156,1.128,1.842,0.789,0.156,1.128,1.843,0.789,accl,accl
0.16,0.16,0.89543,3.8706,3,9,3,9,270,450,0,0.03,0.165,1.835,0.155,1.842,1.1251,0.78902,1.125,0.789,0.004,0.004,653,753,0.012,0.012,0.15508,1.1251,1.842,0.78902,0.156,1.128,1.843,0.7902,accl,accl
0.2,0.2,0.8956,3.8706,3,9,3,9,270,450,0.11,0.03,0.165,1.835,0.155,1.842,1.1249,0.78903,1.125,0.789,0.004,0.004,654,754,0.016,0.016,0.15491,1.1249,1.842,0.78903,0.156,1.1236,1.843,0.7914,accl,accl
0.24,0.24,0.8956,3.8706,3,9,3,9,270,450,0.11,0.03,0.165,1.835,0.155,1.842,1.1249,0.78903,1.125,0.789,0.004,0.004,655,755,0.02,0.02,0.15491,1.1249,1.842,0.78903,0.156,1.1192,1.843,0.7926,accl,accl
0.28,0.28,0.89574,3.8707,3,9,3,9,270,450,0.28,0.18,0.165,1.835,0.155,1.842,1.1248,0.78915,1.125,0.789,0.004,0.004,656,756,0.024,0.024,0.15476,1.1248,1.8421,0.78915,0.156,1.108,1.843,0.7998,accl,accl
0.32,0.32,0.89575,3.8707,3,9,3,9,270,450,0.28,0.18,0.165,1.835,0.155,1.842,1.1248,0.78916,1.125,0.789,0.004,0.004,657,757,0.028,0.028,0.15476,1.1248,1.8422,0.78916,0.156,1.0968,1.843,0.807,accl,accl
0.36,0.36,0.89575,3.8708,3,9,3,9,270,450,0.28,0.3,0.165,1.835,0.155,1.842,1.1248,0.78925,1.125,0.789,0.004,0.004,658,758,0.032,0.032,0.15476,1.1248,1.8423,0.78925,0.156,1.0856,1.843,0.819,accl,accl
0.4,0.4,0.89581,3.8708,3,9,3,9,270,450,0.35,0.3,0.165,1.835,0.155,1.842,1.1247,0.78926,1.125,0.789,0.004,0.004,659,759,0.036,0.036,0.1547,1.1247,1.8423,0.78926,0.156,1.0716,1.843,0.831,accl,accl
0.44,0.44,0.89581,3.8708,3,9,3,9,270,450,0.35,0.3,0.165,1.835,0.155,1.842,1.1247,0.78926,1.125,0.789,0.004,0.004,660,760,0.04,0.04,0.1547,1.1247,1.8423,0.78926,0.156,1.0576,1.843,0.843,accl,accl
0.48,0.48,0.89581,3.8962,3,9,3,9,270,450,0.35,0.35,0.165,1.835,0.155,1.847,1.1247,0.81466,1.125,0.815,0.004,0.004,661,761,0.044,0.044,0.1547,1.1247,1.8467,0.81466,0.156,1.0436,1.843,0.857,accl,accl
